,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,name_localizedValue0,usertype,birth year,gender
740895,238,2018-07-10 19:02:29.5450,2018-07-10 19:06:27.6870,465,Broadway & W 41 St,40.75513557,-73.98658032,379,W 31 St & 7 Ave,40.749156,-73.9916,16097,Annual Membership,Subscriber,1976,1
900945,1234,2018-07-09 13:49:41.2780,2018-07-09 14:10:15.7830,499,Broadway & W 60 St,40.76915505,-73.98191841,422,W 59 St & 10 Ave,40.770513,-73.988038,24971,Annual Membership from Citi Bike App,Subscriber,1983,1
1063486,240,2018-07-15 17:18:24.8580,2018-07-15 17:22:25.7720,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,528,2 Ave & E 31 St,40.74290902,-73.97706058,32072,Annual Membership,Subscriber,1992,1
59299,650,2018-07-26 16:48:45.5870,2018-07-26 16:59:36.5590,168,W 18 St & 6 Ave,40.73971301,-73.99456405,523,W 38 St & 8 Ave,40.75466591,-73.99138152,29917,Annual Membership,Subscriber,1973,1
796779,340,2018-07-01 20:34:29.2530,2018-07-01 20:40:09.6720,478,11 Ave & W 41 St,40.76030096,-73.99884222,3635,W 36 St & 9 Ave,40.754623240291046,-73.99516761302948,28945,$25 Off Annual Membership,Subscriber,1973,1
728572,938,2018-07-06 13:24:35.4950,2018-07-06 13:40:13.5770,461,E 20 St & 2 Ave,40.73587678,-73.98205027,3431,E 35 St & 3 Ave,40.746524,-73.977885,27408,NYCHA Membership,Subscriber,1955,2
664117,871,2018-07-24 09:35:33.1410,2018-07-24 09:50:04.4180,446,W 24 St & 7 Ave,40.74487634,-73.99529885,518,E 39 St & 2 Ave,40.74780373,-73.97344190000001,32011,Annual Membership,Subscriber,1977,1
635464,438,2018-07-07 11:32:35.7600,2018-07-07 11:39:54.5490,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,504,1 Ave & E 16 St,40.73221853,-73.98165557,17070,Annual Membership,Subscriber,1969,1
1376898,252,2018-07-13 21:14:37.9820,2018-07-13 21:18:50.2530,3176,W 64 St & West End Ave,40.77452835,-73.98753759,3167,Amsterdam Ave & W 73 St,40.779668090073116,-73.98093044757842,33307,Annual Membership,Subscriber,1984,1
1014996,659,2018-07-18 10:23:48.3070,2018-07-18 10:34:47.8800,524,W 43 St & 6 Ave,40.75527307,-73.98316936,480,W 53 St & 10 Ave,40.76669671,-73.99061728,16330,Annual Membership,Subscriber,1990,1
954903,146,2018-07-26 14:40:39.9850,2018-07-26 14:43:06.1700,509,9 Ave & W 22 St,40.7454973,-74.00197139,3658,W 18 St & 9 Ave,40.7435337324616,-74.00367558002472,29996,NYCHA Membership (Renewal),Subscriber,1959,2
887787,549,2018-07-19 18:20:36.4690,2018-07-19 18:29:45.8220,497,E 17 St & Broadway,40.73704984,-73.99009296,3435,Grand St & Elizabeth St,40.718821999999996,-73.99596,15372,Annual Membership,Subscriber,1985,1
347811,266,2018-07-05 08:43:44.0900,2018-07-05 08:48:10.2670,335,Washington Pl & Broadway,40.72903917,-73.99404649,265,Stanton St & Chrystie St,40.72229346,-73.99147535,32528,Annual Membership,Subscriber,1960,1
434869,729,2018-07-25 20:37:36.9330,2018-07-25 20:49:46.4590,365,Fulton St & Grand Ave,40.68223166,-73.9614583,3060,Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915,25203,Annual Membership - Save 15%,Subscriber,1988,2
